{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 360, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 428, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 430, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 432, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 434, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 436, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 438, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 439, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 442, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 444, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 446, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 448, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 450, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 452, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 454, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 456, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 31, 'urf': 327, 'umf': 100, 'ull': 9, 'urr': 70, 'ubb': 156, 'ul2': 58, 'ur2': 63, 'l1d': 848, 'lld': 750, 'rrd': 1852, 'r1d': 871, 'imur': 458, 'pos': {'x': -0.82, 'y': 6.61, 'z': -0.33}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '4097', '0BAE', '86AE'], 'Ax': ['0.00', '1.60', '-4.20', '5.10'], 'Ay': ['7.20', '3.10', '3.40', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.73', '4.46', '4.91', '5.89']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.82, 'oldy': 6.61, 'imuc': 461.83011332616803, 'minimu': 146, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
